SMILES,Name
NS(=O)(=O)c1ccc(C(=O)OCCBr)cc1,MOL0001
NS(=O)(=O)c1ccc(C(=O)OCc2ccc(Br)cc2)cc1,MOL0002
NS(=O)(=O)c1ccc(C(=O)OCc2cccc(Br)c2)cc1,MOL0003
NS(=O)(=O)c1ccc(C(=O)OCCc2ccc(Br)cc2)cc1,MOL0004
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2Br)cc1,MOL0005
NS(=O)(=O)c1ccc(C(=O)OCc2cncc(Br)c2)cc1,MOL0006
NS(=O)(=O)c1ccc(C(=O)OCC(Br)CBr)cc1,MOL0007
NS(=O)(=O)c1ccc(C(=O)OCCOCBr)cc1,MOL0008
CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0009
NS(=O)(=O)c1ccc(C(=O)OCC2CC2)cc1,MOL0010
NS(=O)(=O)c1ccc(C(=O)OCC2CCC3OC3C2)cc1,MOL0011
NS(=O)(=O)c1ccc(C(=O)OCc2ccncc2)cc1,MOL0012
NS(=O)(=O)c1ccc(C(=O)OCC2CCNCC2)cc1,MOL0013
NS(=O)(=O)c1ccc(C(=O)OCC2CCOC2)cc1,MOL0014
NS(=O)(=O)c1ccc(C(=O)OCc2nnn3c2CCC3)cc1,MOL0015
NS(=O)(=O)c1ccc(C(=O)OCC2CCCC2)cc1,MOL0016
NS(=O)(=O)c1ccc(C(=O)OCc2ccccc2)cc1,MOL0017
NS(=O)(=O)c1ccc(C(=O)OCC2CCCCC2)cc1,MOL0018
NS(=O)(=O)c1ccc(C(=O)OCCc2ccncc2)cc1,MOL0019
NS(=O)(=O)c1ccc(C(=O)OCc2ccccn2)cc1,MOL0020
NS(=O)(=O)c1ccc(C(=O)OCC2CCCCO2)cc1,MOL0021
NS(=O)(=O)c1ccc(C(=O)OCCc2ccccc2)cc1,MOL0022
NS(=O)(=O)c1ccc(C(=O)OCCC2CCCCC2)cc1,MOL0023
NS(=O)(=O)c1ccc(C(=O)OCCCc2ccncc2)cc1,MOL0024
NS(=O)(=O)c1ccc(C(=O)OCCc2ccccn2)cc1,MOL0025
NS(=O)(=O)c1ccc(C(=O)OCCCc2ccccc2)cc1,MOL0026
NS(=O)(=O)c1ccc(C(=O)OCOCc2ccccc2)cc1,MOL0027
NS(=O)(=O)c1ccc(C(=O)OCCNC2CCCCC2)cc1,MOL0028
NS(=O)(=O)c1ccc(C(=O)OCCN2CCCCCC2)cc1,MOL0029
NS(=O)(=O)c1ccc(C(=O)OCCOc2ccccc2)cc1,MOL0030
NS(=O)(=O)c1ccc(C(=O)OCCSc2ccccc2)cc1,MOL0031
NS(=O)(=O)c1ccc(C(=O)OCCN2CCCC2)cc1,MOL0032
NS(=O)(=O)c1ccc(C(=O)OCCN2CCCCC2)cc1,MOL0033
NS(=O)(=O)c1ccc(C(=O)OCCN2CCOCC2)cc1,MOL0034
NS(=O)(=O)c1ccc(C(=O)OCCn2ccnc2)cc1,MOL0035
NS(=O)(=O)c1ccc(C(=O)OCc2cccnc2)cc1,MOL0036
NS(=O)(=O)c1ccc(C(=O)OCc2ccco2)cc1,MOL0037
NS(=O)(=O)c1ccc(C(=O)OCC2CCCO2)cc1,MOL0038
NS(=O)(=O)c1ccc(C(=O)OCC2CCC=CO2)cc1,MOL0039
NS(=O)(=O)c1ccc(C(=O)OCc2cccs2)cc1,MOL0040
NS(=O)(=O)c1ccc(C(=O)OCC2SCCCS2)cc1,MOL0041
NS(=O)(=O)c1ccc(C(=O)OCCc2cccs2)cc1,MOL0042
NS(=O)(=O)c1ccc(C(=O)OCCCCc2cccs2)cc1,MOL0043
NS(=O)(=O)c1ccc(C(=O)OCc2cncs2)cc1,MOL0044
NS(=O)(=O)c1ccc(C(=O)OCCCc2cnc[nH]2)cc1,MOL0045
NS(=O)(=O)c1ccc(C(=O)OCn2cncn2)cc1,MOL0046
NS(=O)(=O)c1ccc(C(=O)OCC2CO2)cc1,MOL0047
NS(=O)(=O)c1ccc(C(=O)OCC2COCO2)cc1,MOL0048
CC1(COC(=O)c2ccc(S(N)(=O)=O)cc2)CC=CC1=O,MOL0049
CC1(COC(=O)c2ccc(S(N)(=O)=O)cc2)CO1,MOL0050
C=CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0051
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0052
CCCOC(=O)c1ccc(S(N)(=O)=O)cc1,MOL0053
NS(=O)(=O)c1ccc(C(=O)OCC=Cc2ccccc2)cc1,MOL0054
NS(=O)(=O)c1ccc(C(=O)OCC#Cc2ccccc2)cc1,MOL0055
CC1=C(COC(=O)c2ccc(S(N)(=O)=O)cc2)C(=O)OC1=O,MOL0056
CC1(C)C(COC(=O)c2ccc(S(N)(=O)=O)cc2)C1(C)C,MOL0057
CC1(C)C(COC(=O)c2ccc(S(N)(=O)=O)cc2)C1(Cl)Cl,MOL0058
Cc1ccc(COC(=O)c2ccc(S(N)(=O)=O)cc2)cc1,MOL0059
CC1C=CC(COC(=O)c2ccc(S(N)(=O)=O)cc2)OO1,MOL0060
